	airport_id	airport_name	year	month	origin_domestic	origin_international	origin_total	destination_domestic	destination_international	destination_total	destination_total	report_dt
0	KDEN	DENVER INTL AIRPORT	2002	10	18,939	497	19,436	18,973	467	19,440	19,440	2023-09-14
1	KDEN	DENVER INTL AIRPORT	2002	11	17,683	469	18,152	17,661	441	18,102	18,102	2023-09-14
2	KDEN	DENVER INTL AIRPORT	2002	12	19,168	510	19,678	19,194	470	19,664	19,664	2023-09-14
3	KDEN	DENVER INTL AIRPORT	2002	TOTAL	190,251	5,090	195,341	190,058	4,957	195,015	195,015	2023-09-14
4	KDEN	DENVER INTL AIRPORT	2003	1	19,163	531	19,694	19,168	504	19,672	19,672	2023-09-14
5	KDEN	DENVER INTL AIRPORT	2003	2	16,948	502	17,450	16,988	472	17,460	17,460	2023-09-14
6	KDEN	DENVER INTL AIRPORT	2003	3	17,813	529	18,342	17,826	496	18,322	18,322	2023-09-14
7	KDEN	DENVER INTL AIRPORT	2003	4	17,312	511	17,823	17,310	505	17,815	17,815	2023-09-14
8	KDEN	DENVER INTL AIRPORT	2003	5	17,876	546	18,422	17,782	542	18,324	18,324	2023-09-14
9	KDEN	DENVER INTL AIRPORT	2003	6	18,866	547	19,413	18,464	545	19,009	19,009	2023-09-14
10	KDEN	DENVER INTL AIRPORT	2003	7	19,907	582	20,489	19,929	578	20,507	20,507	2023-09-14
11	KDEN	DENVER INTL AIRPORT	2003	8	19,946	608	20,554	19,951	609	20,560	20,560	2023-09-14
12	KDEN	DENVER INTL AIRPORT	2003	9	18,745	563	19,308	18,741	562	19,303	19,303	2023-09-14
13	KDEN	DENVER INTL AIRPORT	2003	10	19,358	537	19,895	19,376	541	19,917	19,917	2023-09-14
14	KDEN	DENVER INTL AIRPORT	2003	11	18,475	482	18,957	18,428	481	18,909	18,909	2023-09-14
15	KDEN	DENVER INTL AIRPORT	2003	12	20,086	548	20,634	20,101	545	20,646	20,646	2023-09-14
16	KDEN	DENVER INTL AIRPORT	2003	TOTAL	224,495	6,486	230,981	224,064	6,380	230,444	230,444	2023-09-14
17	KDEN	DENVER INTL AIRPORT	2004	1	20,256	561	20,817	20,231	559	20,790	20,790	2023-09-14
18	KDEN	DENVER INTL AIRPORT	2004	2	19,489	534	20,023	19,450	532	19,982	19,982	2023-09-14
19	KDEN	DENVER INTL AIRPORT	2004	3	21,862	596	22,458	21,823	598	22,421	22,421	2023-09-14
20	KDEN	DENVER INTL AIRPORT	2004	4	20,889	558	21,447	20,880	554	21,434	21,434	2023-09-14
21	KDEN	DENVER INTL AIRPORT	2004	5	21,546	603	22,149	21,516	596	22,112	22,112	2023-09-14
22	KDEN	DENVER INTL AIRPORT	2004	6	22,032	566	22,598	22,003	567	22,570	22,570	2023-09-14
23	KDEN	DENVER INTL AIRPORT	2004	7	23,002	582	23,584	22,988	579	23,567	23,567	2023-09-14
24	KDEN	DENVER INTL AIRPORT	2004	8	22,980	578	23,558	22,948	573	23,521	23,521	2023-09-14
25	KDEN	DENVER INTL AIRPORT	2004	9	20,845	498	21,343	20,843	475	21,318	21,318	2023-09-14
26	KDEN	DENVER INTL AIRPORT	2004	10	20,788	533	21,321	20,799	506	21,305	21,305	2023-09-14
27	KDEN	DENVER INTL AIRPORT	2004	11	19,399	533	19,932	19,376	529	19,905	19,905	2023-09-14
28	KDEN	DENVER INTL AIRPORT	2004	12	20,956	623	21,579	20,958	622	21,580	21,580	2023-09-14
29	KDEN	DENVER INTL AIRPORT	2004	TOTAL	254,044	6,765	260,809	253,815	6,690	260,505	260,505	2023-09-14
30	KDEN	DENVER INTL AIRPORT	2005	1	20,242	648	20,890	20,199	651	20,850	20,850	2023-09-14
31	KDEN	DENVER INTL AIRPORT	2005	2	18,791	580	19,371	18,805	584	19,389	19,389	2023-09-14
32	KDEN	DENVER INTL AIRPORT	2005	3	21,553	661	22,214	21,559	658	22,217	22,217	2023-09-14
33	KDEN	DENVER INTL AIRPORT	2005	4	19,719	648	20,367	19,723	645	20,368	20,368	2023-09-14
34	KDEN	DENVER INTL AIRPORT	2005	5	21,570	698	22,268	21,579	694	22,273	22,273	2023-09-14
35	KDEN	DENVER INTL AIRPORT	2005	6	22,204	689	22,893	22,217	685	22,902	22,902	2023-09-14
36	KDEN	DENVER INTL AIRPORT	2005	7	23,349	661	24,010	23,377	655	24,032	24,032	2023-09-14
37	KDEN	DENVER INTL AIRPORT	2005	8	23,350	638	23,988	23,318	639	23,957	23,957	2023-09-14
38	KDEN	DENVER INTL AIRPORT	2005	9	21,250	522	21,772	21,190	496	21,686	21,686	2023-09-14
